
******2019/12/4 16:43:51******
temp:100
0.984615 r/s
0.402124 m/s

1.107692 r/s
0.452389 m/s

1.084615 r/s
0.442965 m/s

1.057692 r/s
0.431969 m/s

1.092308 r/s
0.446106 m/s

1.061538 r/s
0.433540 m/s

1.150000 r/s
0.469668 m/s

0.980769 r/s
0.400553 m/s

1.026923 r/s
0.419403 m/s

1.080769 r/s
0.441394 m/s

0.988462 r/s
0.403695 m/s

1.034615 r/s
0.422544 m/s

1.107692 r/s
0.452389 m/s

0.980769 r/s
0.400553 m/s

1.100000 r/s
0.449248 m/s

1.076923 r/s
0.439823 m/s

1.053846 r/s
0.430398 m/s

1.084615 r/s
0.442965 m/s

1.061538 r/s
0.433540 m/s

1.150000 r/s
0.469668 m/s

0.973077 r/s
0.397411 m/s

1.030769 r/s
0.420973 m/s

1.084615 r/s
0.442965 m/s

0.992308 r/s
0.405265 m/s

1.038462 r/s
0.424115 m/s

1.119231 r/s
0.457102 m/s

0.996154 r/s
0.406836 m/s

1.111538 r/s
0.453960 m/s

1.069231 r/s
0.436681 m/s

1.046154 r/s
0.427257 m/s

1.084615 r/s
0.442965 m/s

1.046154 r/s
0.427257 m/s

1.130769 r/s
0.461814 m/s

0.965385 r/s
0.394270 m/s

1.034615 r/s
0.422544 m/s

1.084615 r/s
0.442965 m/s

0.988462 r/s
0.403695 m/s

1.038462 r/s
0.424115 m/s

1.126923 r/s
0.460243 m/s

1.003846 r/s
0.409978 m/s

1.119231 r/s
0.457102 m/s

1.080769 r/s
0.441394 m/s

1.061538 r/s
0.433540 m/s

1.080769 r/s
0.441394 m/s

1.042308 r/s
0.425686 m/s

1.126923 r/s
0.460243 m/s

0.965385 r/s
0.394270 m/s

1.026923 r/s
0.419403 m/s

1.073077 r/s
0.438252 m/s

0.984615 r/s
0.402124 m/s

1.042308 r/s
0.425686 m/s

1.123077 r/s
0.458672 m/s

1.000000 r/s
0.408407 m/s

1.115385 r/s
0.455531 m/s

1.088462 r/s
0.444535 m/s

1.065385 r/s
0.435111 m/s

1.092308 r/s
0.446106 m/s

1.057692 r/s
0.431969 m/s

1.138462 r/s
0.464956 m/s

0.973077 r/s
0.397411 m/s

1.011538 r/s
0.413119 m/s

1.065385 r/s
0.435111 m/s

0.973077 r/s
0.397411 m/s

1.026923 r/s
0.419403 m/s

1.111538 r/s
0.453960 m/s

0.992308 r/s
0.405265 m/s

1.111538 r/s
0.453960 m/s

1.084615 r/s
0.442965 m/s

1.065385 r/s
0.435111 m/s

1.088462 r/s
0.444535 m/s

1.057692 r/s
0.431969 m/s

1.157692 r/s
0.472810 m/s

0.980769 r/s
0.400553 m/s

1.030769 r/s
0.420973 m/s

1.080769 r/s
0.441394 m/s

0.980769 r/s
0.400553 m/s

1.019231 r/s
0.416261 m/s

1.100000 r/s
0.449248 m/s

0.988462 r/s
0.403695 m/s

1.100000 r/s
0.449248 m/s

1.073077 r/s
0.438252 m/s

1.053846 r/s
0.430398 m/s

1.084615 r/s
0.442965 m/s

1.057692 r/s
0.431969 m/s

1.146154 r/s
0.468097 m/s

0.976923 r/s
0.398982 m/s

1.034615 r/s
0.422544 m/s

1.088462 r/s
0.444535 m/s

0.992308 r/s
0.405265 m/s

1.034615 r/s
0.422544 m/s

1.115385 r/s
0.455531 m/s
